Date,Tournament,Surface,Rd,Rk,vRk,Player,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
9‑Oct‑2017,Shanghai Masters,Hard,R64,21,45,Steve Johnson [USA] d. (13)Kyrgios,7-6(5) 0-0 RET,0.84,33.30%,7.70%,64.10%,80.00%,57.10%,0/0,0:47
2‑Oct‑2017,Beijing,Hard,F,19,1,(1)Rafael Nadal [ESP] d. (8)Kyrgios,6-2 6-1,0.66,12.50%,7.80%,48.40%,67.70%,30.30%,8月12日,1:32
2‑Oct‑2017,Beijing,Hard,SF,19,4,(8)Kyrgios d. (2)Alexander Zverev [GER],6-3 7-5,1.96,19.60%,0.00%,69.60%,87.20%,70.60%,1月1日,1:17
2‑Oct‑2017,Beijing,Hard,QF,19,73,(8)Kyrgios d. (Q)Steve Darcis [BEL],6-0 3-0 RET,3.05,42.90%,7.10%,60.70%,94.10%,45.50%,0/0,0:30
2‑Oct‑2017,Beijing,Hard,R16,19,27,(8)Kyrgios d. Mischa Zverev [GER],3-6 6-2 6-2,1.6,18.00%,1.60%,62.30%,84.20%,65.20%,0/1,1:21
2‑Oct‑2017,Beijing,Hard,R32,19,60,(8)Kyrgios d. Nikoloz Basilashvili [RUS],6-1 6-2,2.28,27.90%,7.00%,51.20%,86.40%,66.70%,0/0,0:55
15‑Sep‑2017,Davis Cup WG SF: BEL vs AUS,Clay,RR,20,77,Kyrgios d. Steve Darcis [BEL],6-3 3-6 6-7(5) 6-1 6-2,1.87,28.80%,0.80%,65.30%,89.60%,56.10%,4月5日,3:35
15‑Sep‑2017,Davis Cup WG SF: BEL vs AUS,Clay,RR,20,12,David Goffin [BEL] d. Kyrgios,6-7(4) 6-4 6-4 6-4,0.8,18.80%,5.50%,60.90%,78.20%,48.00%,4月8日,3:09
28‑Aug‑2017,US Open,Hard,R128,17,235,John Millman [AUS] d. (14)Kyrgios,6-3 1-6 6-4 6-1,0.84,14.70%,6.00%,59.50%,69.60%,44.70%,10月14日,2:15
14‑Aug‑2017,Cincinnati Masters,Hard,F,23,11,(7)Grigor Dimitrov [BUL] d. Kyrgios,6-3 7-5,0.63,25.00%,6.70%,70.00%,73.80%,44.40%,2月4日,1:25
14‑Aug‑2017,Cincinnati Masters,Hard,SF,23,31,Kyrgios d. David Ferrer [ESP],7-6(3) 7-6(4),1.07,16.50%,4.70%,56.50%,89.60%,45.90%,3月3日,2:04
14‑Aug‑2017,Cincinnati Masters,Hard,QF,23,2,Kyrgios d. (1)Rafael Nadal [ESP],6-2 7-5,1.67,17.90%,8.90%,62.50%,85.70%,52.40%,2月3日,1:20
14‑Aug‑2017,Cincinnati Masters,Hard,R16,23,44,Kyrgios d. Ivo Karlovic [CRO],4-6 7-6(6) 6-3,1.55,10.00%,3.80%,67.50%,92.60%,61.50%,0/1,1:56
14‑Aug‑2017,Cincinnati Masters,Hard,R32,23,71,Kyrgios d. (Q)Alexandr Dolgopolov [UKR],6-3 7-6(6),1.48,24.20%,9.70%,61.30%,84.20%,58.30%,3月4日,1:26
14‑Aug‑2017,Cincinnati Masters,Hard,R64,23,13,Kyrgios d. (9)David Goffin [BEL],6-2 6-3,1.62,17.90%,10.70%,55.40%,87.10%,56.00%,4月4日,1:06
7‑Aug‑2017,Canada Masters,Hard,R16,24,8,(4)Alexander Zverev [GER] d. (16)Kyrgios,6-4 6-3,0.8,9.60%,7.70%,65.40%,70.60%,44.40%,1月4日,1:11
7‑Aug‑2017,Canada Masters,Hard,R32,24,38,(16)Kyrgios d. Paolo Lorenzi [ITA],6-2 6-3,2.01,21.30%,10.60%,53.20%,96.00%,59.10%,1月1日,1:02
7‑Aug‑2017,Canada Masters,Hard,R64,24,45,(16)Kyrgios d. Viktor Troicki [SRB],6-1 6-2,2.55,19.00%,9.50%,57.10%,87.50%,66.70%,0/0,0:50
31‑Jul‑2017,Washington,Hard,R32,20,106,Tennys Sandgren [USA] d. (10)Kyrgios,6-3 3-0 RET,0.29,12.20%,12.20%,48.80%,70.00%,33.30%,3月6日,0:38
3‑Jul‑2017,Wimbledon,Grass,R128,20,70,Pierre Hugues Herbert [FRA] d. (20)Kyrgios,6-3 6-4 RET,0.6,5.20%,3.40%,65.50%,55.30%,80.00%,1月3日,0:58
19‑Jun‑2017,Queen's Club,Grass,R32,20,55,Donald Young [USA] d. (9)Kyrgios,7-6(3) 0-0 RET,1.21,35.30%,5.90%,61.80%,90.50%,61.50%,0/0,0:52
29‑May‑2017,Roland Garros,Clay,R64,19,56,Kevin Anderson [RSA] d. (18)Kyrgios,5-7 6-4 6-1 6-2,0.78,13.10%,7.40%,69.70%,65.90%,43.20%,7月13日,2:35
29‑May‑2017,Roland Garros,Clay,R128,19,43,(18)Kyrgios d. Philipp Kohlschreiber [GER],6-3 7-6(4) 6-3,1.19,20.60%,4.10%,70.10%,80.90%,55.20%,3月3日,1:51
22‑May‑2017,Lyon,Clay,R16,19,94,(Q)Nicolas Kicker [ARG] d. (4)Kyrgios,2-6 6-4 6-2,0.81,19.80%,11.10%,59.30%,72.90%,39.40%,8月12日,1:35
8‑May‑2017,Madrid Masters,Clay,R16,20,5,(4)Rafael Nadal [ESP] d. (16)Kyrgios,6-3 6-1,0.45,4.50%,6.00%,67.20%,51.10%,31.80%,6月11日,1:12
8‑May‑2017,Madrid Masters,Clay,R32,20,47,(16)Kyrgios d. Ryan Harrison [USA],6-3 6-3,2.23,17.40%,0.00%,60.90%,85.70%,72.20%,1月1日,0:58
8‑May‑2017,Madrid Masters,Clay,R64,20,64,(16)Kyrgios d. Marcos Baghdatis [CYP],7-6(1) 6-4,1.62,23.70%,0.00%,69.50%,82.90%,77.80%,0/0,1:17
7‑Apr‑2017,Davis Cup WG QF: AUS vs USA,Hard,RR,16,23,Kyrgios d. John Isner [USA],7-5 7-6(5) 7-6(5),1.41,18.50%,0.90%,69.40%,81.30%,60.60%,1月2日,2:24
